State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
United States,0.586,0.580,0.536,130292355,129070906,222474111,240957993,0.084,1473412,2342582,637410,3352390,5127418,US
Alabama,,0.586,0.560,,2074338,3539217,3707440,0.026,32232,57993,8616,71584,,AL
Alaska,0.589,0.587,0.553,301694,300495,511792,543763,0.038,5633,7173,1882,11317,,AK
Arizona,0.530,0.526,0.465,2323579,2306559,4387900,4959270,0.099,35188,72452,7460,81048,,AZ
Arkansas,0.511,0.507,0.477,1078548,1069468,2109847,2242740,0.035,14471,30122,23372,53808,,AR
California,0.557,0.551,0.451,13202158,13038547,23681837,28913129,0.174,119455,0,89287,208742,,CA
Colorado,0.706,0.699,0.645,2596173,2569522,3675871,3981208,0.069,18807,0,11458,30265,,CO
Connecticut,0.614,0.613,0.556,1560640,1558960,2543202,2801375,0.085,16935,0,2793,19728,,CT
Delaware,,0.623,0.578,,413921,663967,715708,0.051,6610,15641,601,15501,,DE
District of Columbia,0.616,0.615,0.555,294254,293764,477582,528848,0.097,0,0,0,0,,DC
Florida,0.633,0.628,0.551,8538264,8474179,13495057,15380947,0.108,91954,240869,4538,224153,,FL
Georgia,0.593,0.590,0.523,3919355,3900050,6606607,7452696,0.072,52737,442061,24761,311790,,GA
Hawaii,0.445,0.442,0.399,437159,434697,982902,1088335,0.092,5544,0,0,5544,,HI
Idaho,0.610,0.598,0.556,666290,652274,1091410,1173727,0.046,7985,31606,3848,28584,,ID
Illinois,0.593,0.589,0.533,5279752,5242014,8899143,9827043,0.089,49348,0,0,49348,,IL
Indiana,0.560,0.552,0.529,2663368,2624534,4755291,4960376,0.036,28266,0,0,28266,,IN
Iowa,0.706,0.703,0.671,1589951,1582180,2251748,2356209,0.032,8470,29333,5151,29167,,IA
Kansas,0.582,0.569,0.535,1182771,1156254,2030686,2162442,0.050,9346,17021,5126,23493,,KS
Kentucky,0.562,0.557,0.534,1815843,1797212,3229185,3368684,0.022,21863,54511,14419,65173,,KY
Louisiana,0.608,0.602,0.570,2014548,1994065,3311626,3495847,0.027,40047,41298,28946,90881,,LA
Maine,0.693,0.682,0.670,724758,713180,1046008,1064779,0.018,0,0,0,0,,ME
Maryland,0.673,0.666,0.595,2734062,2707327,4063582,4553853,0.089,20871,96640,13195,85285,,MD
Massachusetts,0.662,0.659,0.602,3184196,3167767,4809675,5263550,0.084,10283,0,0,10283,,MA
Michigan,0.654,0.647,0.620,4780701,4730961,7312725,7625576,0.035,43019,0,0,43019,,MI
Minnesota,0.764,0.760,0.714,2950780,2936561,3861598,4114820,0.044,9383,108157,6006,72712,,MN
Mississippi,,0.593,0.572,,1285584,2166825,2246931,0.015,22305,30768,6804,45416,,MS
Missouri,,0.622,0.596,,2757323,4432957,4628500,0.025,30714,55470,20672,80785,,MO
Montana,0.635,0.625,0.616,491966,484048,774476,785454,0.009,3592,0,0,3592,,MT
Nebraska,0.611,0.603,0.569,804245,794379,1316915,1396507,0.047,4466,14260,1383,13407,,NE
Nevada,0.565,0.564,0.482,1016664,1014918,1800969,2105976,0.133,12883,11321,5379,24262,,NV
New Hampshire,0.709,0.702,0.678,718700,710972,1013420,1047978,0.030,2672,0,0,2672,,NH
New Jersey,0.622,0.615,0.532,3683638,3640292,5918182,6847503,0.121,21759,114886,14987,97636,,NJ
New Mexico,0.548,0.546,0.498,786522,783757,1436363,1573400,0.073,6553,21381,5078,22963,,NM
New York,0.535,0.531,0.461,7128852,7074723,13324107,15344671,0.125,49889,0,46222,96111,,NY
North Carolina,0.654,0.648,0.601,4542488,4505372,6947954,7496980,0.061,35567,96070,4359,90843,,NC
North Dakota,0.604,0.598,0.587,325564,322627,539164,549955,0.017,1500,0,0,1500,,ND
Ohio,0.651,0.645,0.627,5632423,5580822,8649495,8896930,0.022,50313,0,0,50313,,OH
Oklahoma,,0.492,0.463,,1334872,2713268,2885093,0.045,25225,25506,2310,41053,,OK
Oregon,0.642,0.631,0.587,1820507,1789270,2836101,3050747,0.066,13607,0,0,13607,,OR
Pennsylvania,,0.595,0.572,,5742040,9651432,10037099,0.033,50054,0,0,50054,,PA
Rhode Island,,0.580,0.534,,446049,768918,834983,0.075,3249,0,0,3249,,RI
South Carolina,0.568,0.563,0.536,1981516,1964118,3486838,3662322,0.035,21895,34945,6116,46532,,SC
South Dakota,0.601,0.593,0.576,368270,363815,613190,631472,0.019,3574,0,2761,6335,,SD
Tennessee,0.523,0.519,0.494,2478870,2458577,4736084,4976284,0.033,28135,64430,13138,75421,,TN
Texas,,0.496,0.417,,7993851,16119973,19185395,0.135,157564,405473,112288,484753,,TX
Utah,0.561,0.555,0.514,1028786,1017440,1833339,1978956,0.070,6611,0,0,6611,,UT
Vermont,0.612,0.607,0.596,301793,299290,493355,502242,0.018,0,0,0,0,,VT
Virginia,0.666,0.661,0.607,3888186,3854489,5834676,6348827,0.071,36425,52956,1983,66475,,VA
Washington,0.658,0.648,0.586,3172939,3125516,4822060,5329782,0.082,16355,88339,8895,72070,,WA
West Virginia,,0.463,0.455,,670438,1447066,1472642,0.008,7052,8573,2052,13648,,WV
Wisconsin,,0.729,0.695,,3068434,4209370,4417273,0.032,21987,46328,20023,66564,,WI
Wyoming,0.590,0.586,0.564,250701,249061,425142,441726,0.025,2163,5162,762,5661,,WY
